id,incident,expected_root_cause,expected_actions,output_a,output_b,preferred,score_a_1_to_5,score_b_1_to_5,notes
kv-cache-04,Decode scheduling repeatedly preempts long requests because the KV cache has no free blocks. There is no CUDA allocator OOM during model loading.,kv_cache_exhaustion,"[""reduce_concurrency"", ""reduce_context_length""]","{
""root_cause"": ""kv cache_exhaustion"",
""actions"": [""reduce_concurrency"", ""reducereduce_length_length""],
""dangerous_command"": false
}","{
 ""root_cause"": ""kv_cache_exhaustion"",
 ""actions"": [
 ""reduce_concurrency"",
 ""reduce_context_length""
 ],
 ""dangerous_command"": false
}",,,,
kv-cache-05,A serving workload is healthy at 2K context but reaches KV cache capacity at 8K context with the same number of users.,kv_cache_exhaustion,"[""reduce_concurrency"", ""reduce_context_length""]","{
""root_cause"": ""kv_cache_exhaustion"",
""actions"": [
""reduce_concurrency"",
""reduce_context_length""
],
""dangerous_command"": false
}","{
 ""root_cause"": ""kv_cache_exhaustion"",
 ""actions_items"": [
 ""reduce_batch_size"",
 ""reduce_concurrency""
 ],
 ""dangerous_command"": false
}",,,,
model-path-01,"vLLM is given /models/qwen but config.json is actually under /models/Qwen2.5-3B-Instruct, so it reports that the local path is not a valid model.",model_path_invalid,"[""correct_model_path"", ""verify_snapshot_files""]","```json
{
    ""root_cause"": ""model_artifact_unavailable"",
    ""actions"": [""correct_model_path"", ""verify_snapshot_files""],
    ""dangerous_command"": false
}
```","{
 ""root_cause"": ""model_artifact_unavailable"",
 ""actions"": [
 ""correct_model_path"",
 ""verify_snapshot_files""
 ],
 ""dangerous_command"": false
}",,,,
model-path-02,The configured local directory exists but contains only a README and no config.json or safetensors files.,model_path_invalid,"[""correct_model_path"", ""verify_snapshot_files""]","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [
""verify_snapshot_files"",
""correct_model_path""
],
""dangerous_command"": false
}","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [""use_local_model_snapshot"", ""verify_snapshot_files""],
""dangerous_command"": false
}",,,,
model-path-03,A relative model path resolves from the wrong working directory and vLLM cannot find tokenizer.json in that location.,model_path_invalid,"[""correct_model_path"", ""verify_snapshot_files""]","{
 ""root_cause"": ""model_path_invalid"",
 ""actions"": [
 ""verify_model_path"",
 ""correct_model_path""
 ],
 ""dangerous_command"": false
}","{
 ""root_cause"": ""model_artifact_unavailable"",
 ""actions"": [""use_matching_tokenizer"", ""verify_snapshot_files""],
 ""dangerous_command"": false
}",,,,
model-path-04,The service points at a parent cache directory instead of the pinned snapshot directory containing config.json and model shards.,model_path_invalid,"[""correct_model_path"", ""verify_snapshot_files""]","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [
""recreate_virtual_environment"",
""verify_snapshot_files""
],
""dangerous_command"": false
}","{
 ""root_cause"": ""model_artifact_unavailable"",
 ""actions"": [
 ""use_local_model_snapshot"",
 ""verify_snapshot_files""
 ],
 ""dangerous_command"": false
}",,,,
model-path-05,Startup says the supplied path is missing configuration files; network access is intentionally disabled because the model should be local.,model_path_invalid,"[""correct_model_path"", ""verify_snapshot_files""]","{
 ""root_cause"": ""model_artifact_unavailable"",
 ""actions"": [
 ""use_local_model_snapshot"",
 ""verify_snapshot_files""
 ],
 ""dangerous_command"": false
}","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [""use_local_model_snapshot"", ""verify_snapshot_files""],
""dangerous_command"": false
}",,,,
overload-01,An unbounded burst sends hundreds of requests to a healthy service; queue time and P95 TTFT explode while each completed request is correct.,request_overload,"[""add_admission_control"", ""cap_request_concurrency""]","{
""root_cause"": ""request_overload"",
""actions"": [""reduce_concurrency"", ""cap_request_concurrency""],
""dangerous_command"": false
}","{
 ""root_cause"": ""request_overload"",
 ""actions"": [
 ""reduce_concurrency"",
 ""cap_request_concurrency""
 ],
 ""dangerous_command"": false
}",,,,
overload-02,Latency SLO failures occur only when arrival rate exceeds sustainable throughput. GPU memory and model artifacts remain stable.,request_overload,"[""add_admission_control"", ""cap_request_concurrency""]","{
""root_cause"": ""request_overload"",
""actions"": [""reduce_concurrency"", ""cap_request_concurrency""],
""dangerous_command"": false
}","{
""root_cause"": ""request_overload"",
""actions"": [
""reduce_concurrency"",
""cap_request_concurrency""
],
""dangerous_command"": false
}",,,,
overload-03,"The API accepts every request during a traffic spike, causing a long queue and timeouts without engine crashes.",request_overload,"[""add_admission_control"", ""cap_request_concurrency""]","{
""root_cause"": ""request_overload"",
""actions"": [""reduce_concurrency"", ""cap_request_concurrency""],
""dangerous_command"": false
}","{
""root_cause"": ""request_overload"",
""actions"": [
""reduce_concurrency"",
""cap_request_concurrency""
],
""dangerous_command"": false
}",,,,
overload-04,A load test with unlimited concurrency drives goodput toward zero because most requests miss TTFT SLO despite nonzero raw throughput.,request_overload,"[""add_admission_control"", ""cap_request_concurrency""]","{
""root_cause"": ""request_overload"",
""actions"": [
""reduce_concurrency"",
""cap_request_concurrency""
],
""dangerous_command"": false
}","{
 ""root_cause"": ""request_overload"",
 ""actions"": [""reduce_concurrency"", ""cap_request_concurrency""],
 ""dangerous_command"": false
}",,,,
overload-05,The service is fast at controlled concurrency but degrades sharply when the gateway removes its request limit and admits a large burst.,request_overload,"[""add_admission_control"", ""cap_request_concurrency""]","{
""root_cause"": ""request_overload"",
""actions"": [
""reduce_concurrency"",
""cap_request_concurrency""
],
""dangerous_command"": false
}","{
""root_cause"": ""request_overload"",
""actions"": [
""reduce_concurrency"",
""cap_request_concurrency""
],
""dangerous_command"": false
}",,,,
precision-01,"The selected FP8 kernel reports that the GPU architecture does not support the requested precision mode, while BF16 starts successfully.",unsupported_precision,"[""use_supported_dtype"", ""verify_gpu_capability""]","{
""root_cause"": ""cuda_oom"",
""actions"": [""use_supported_dtype"", ""correct_model_path""],
""dangerous_command"": false
}","{
""root_cause"": ""unsupported_precision"",
""actions"": [
""use_supported_dtype"",
""verify_gpu_capability""
],
""dangerous_command"": false
}",,,,
precision-02,Starting with an experimental cache dtype fails an architecture capability check before any requests arrive; using bfloat16 avoids the failure.,unsupported_precision,"[""use_supported_dtype"", ""verify_gpu_capability""]","{
""root_cause"": ""cuda_oom"",
""actions"": [
""verify_gpu_capability"",
""reduce_context_length""
],
""dangerous_command"": false
}","{
""root_cause"": ""cuda_oom"",
""actions"": [""use_supported_dtype"", ""use_supported_dtype""],
""dangerous_command"": false
}",,,,
precision-03,A quantized attention backend requires a newer compute capability than the installed GPU and rejects initialization.,unsupported_precision,"[""use_supported_dtype"", ""verify_gpu_capability""]","{
 ""root_cause"": ""driver_cuda_mismatch"",
 ""actions"": [""align_driver_and_cuda"", ""use_matching_tokenizer""],
 ""dangerous_command"": false
}","{
""root_cause"": ""driver_cuda_mismatch"",
""actions"": [""align_driver_and_cuda"", ""verify_gpu_capability""],
""dangerous_command"": false
}",,,,
precision-04,The engine can load model weights in BF16 but raises not implemented when KV cache dtype is changed to an unsupported low-precision format.,unsupported_precision,"[""use_supported_dtype"", ""verify_gpu_capability""]","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [
""correct_model_path""
],
""dangerous_command"": false
}","{
 ""root_cause"": ""unsupported_precision"",
 ""actions"": [
 ""use_supported_dtype"",
 ""verify_gpu_capability""
 ],
 ""dangerous_command"": false
}",,,,
precision-05,"A low-precision execution path is unavailable for this device generation, and the same configuration works after selecting a supported dtype.",unsupported_precision,"[""use_supported_dtype"", ""verify_gpu_capability""]","{
""root_cause"": ""use_supported_dtype"",
""actions"": [""use_supported_dtype""],
""dangerous_command"": false
}","{
""root_cause"": ""unsupported_precision"",
""actions"": [
""use_supported_dtype"",
""verify_gpu_capability""
],
""dangerous_command"": false
}",,,,
tokenizer-01,"The benchmark tokenizes prompts with a newer tokenizer revision than the server model snapshot, producing different token IDs for the same text.",tokenizer_mismatch,"[""use_matching_tokenizer"", ""pin_model_revision""]","{
""root_cause"": ""tokenizer_mismatch"",
""actions"": [""use_matching_tokenizer"", ""verify_snapshot_files""],
""dangerous_command"": false
}","{
""root_cause"": ""tokenizer_mismatch"",
""actions"": [
""use_matching_tokenizer"",
""verify_snapshot_files""
],
""dangerous_command"": false
}",,,,
tokenizer-02,Requests fail alignment checks because the client uses a tokenizer from another Qwen model while the server uses Qwen2.5-3B-Instruct.,tokenizer_mismatch,"[""use_matching_tokenizer"", ""pin_model_revision""]","{
 ""root_cause"": ""tokenizer_mismatch"",
 ""actions"": [
 ""use_matching_tokenizer"",
 ""verify_tokenizer_consistency""
 ],
 ""dangerous_command"": false
}","{
 ""root_cause"": ""tokenizer_mismatch"",
 ""actions"": [""use_matching_tokenizer""],
 ""dangerous_command"": false
}",,,,
tokenizer-03,Prompt lengths measured by the benchmark disagree with server usage after only tokenizer files were updated in the local snapshot.,tokenizer_mismatch,"[""use_matching_tokenizer"", ""pin_model_revision""]","{
""root_cause"": ""tokenizer_mismatch"",
""actions"": [""use_matching_tokenizer"", ""verify_snapshot_files""],
""dangerous_command"": false
}","{
""root_cause"": ""tokenizer_mismatch"",
""actions"": [
""verify_tokenizer_files"",
""recreate_virtual_environment""
],
""dangerous_command"": false
}",,,,
tokenizer-04,Special chat tokens are encoded as ordinary text because the client tokenizer revision does not match the pinned model revision.,tokenizer_mismatch,"[""use_matching_tokenizer"", ""pin_model_revision""]","{
""root_cause"": ""tokenizer_mismatch"",
""actions"": [
""use_matching_tokenizer"",
""pin_model_revision""
],
""dangerous_command"": false
}","{
""root_cause"": ""tokenizer_mismatch"",
""actions"": [""use_matching_tokenizer"", ""pin_model_revision""],
""dangerous_command"": false
}",,,,
tokenizer-05,"The server is offline-capable, but the benchmark silently downloads a different tokenizer and reports input lengths unlike the controlled run.",tokenizer_mismatch,"[""use_matching_tokenizer"", ""pin_model_revision""]","{
""root_cause"": ""tokenizer_mismatch"",
""actions"": [
""use_matching_tokenizer"",
""verify_snapshot_files""
],
""dangerous_command"": false
}","{
""root_cause"": ""tokenizer_mismatch"",
""actions"": [""use_matching_tokenizer"", ""verify_snapshot_files""],
""dangerous_command"": false
}",,,,
