id,incident,expected_root_cause,expected_actions,output_a,output_b,preferred,score_a_1_to_5,score_b_1_to_5,notes
disk-03,"Checkpoint saving fails with errno 28 after training, although RAM and VRAM have free capacity.",disk_exhaustion,"[""free_disk_space"", ""move_model_cache""]","{
 ""root_cause"": ""disk_exhaustion"",
 ""actions"": [""reduce_concurrency"", ""free_disk_space""],
 ""dangerous_command"": false
}","{""root_cause"":""cuda_oom"",""actions"":[""reduce_batch_size"",""enable_gradient_checkpointing""],""dangerous_command"":false}",A,4,1,A correctly identifies disk exhaustion and frees space; B incorrectly treats errno 28 as GPU OOM.
disk-04,"The root filesystem has only a few megabytes free, and model extraction fails while a larger mounted volume is available.",disk_exhaustion,"[""free_disk_space"", ""move_model_cache""]","{""root_cause"":""disk_exhaustion"",""actions"":[""free_disk_space"",""move_model_cache""],""dangerous_command"":false}","{
""root_cause"": ""disk_exhaustion"",
""actions"": [
""reduce_concurrency"",
""free_disk_space""
],
""dangerous_command"": false
}",A,5,4,A fully uses the larger volume; B diagnoses correctly but omits relocating the cache.
disk-05,"A repeated experiment fills the cache with old snapshots, preventing the current model manifest from being written.",disk_exhaustion,"[""free_disk_space"", ""move_model_cache""]","{""root_cause"":""kv_cache_exhaustion"",""actions"":[""reduce_concurrency"",""reduce_context_length""],""dangerous_command"":false}","{
""root_cause"": ""kv_cache_exhaustion"",
""actions"": [
""reduce_concurrency"",
""recreate_virtual_environment""
],
""dangerous_command"": false
}",TIE,1,1,Both misdiagnose filesystem exhaustion as KV-cache exhaustion and provide unusable remediation.
driver-cuda-01,torch.cuda.is_available is false and PyTorch says the installed NVIDIA driver is too old for the CUDA runtime bundled in the wheel.,driver_cuda_mismatch,"[""align_driver_and_cuda"", ""install_compatible_torch_build""]","{
""root_cause"": ""driver_cuda_mismatch"",
""actions"": [""enable_gradient_checkpointing"", ""align_driver_and_cuda""],
""dangerous_command"": false
}","{""root_cause"":""driver_cuda_mismatch"",""actions"":[""align_driver_and_cuda"",""install_compatible_torch_build""],""dangerous_command"":false}",B,4,5,"B covers both compatibility actions; A adds gradient checkpointing, which does not address the mismatch."
driver-cuda-02,Importing a CUDA extension fails with an undefined CUDA symbol after upgrading torch without changing the host driver.,driver_cuda_mismatch,"[""align_driver_and_cuda"", ""install_compatible_torch_build""]","{""root_cause"":""driver_cuda_mismatch"",""actions"":[""align_driver_and_cuda"",""install_compatible_torch_build""],""dangerous_command"":false}","{
""root_cause"": ""cuda_oom"",
""actions"": [
""verify_gpu_capability"",
""correct_model_path""
],
""dangerous_command"": false
}",A,5,1,A correctly aligns the driver and Torch build; B misdiagnoses the symbol failure as OOM.
driver-cuda-03,"nvidia-smi works, but the application reports that its CUDA runtime version is unsupported by the current driver branch.",driver_cuda_mismatch,"[""align_driver_and_cuda"", ""install_compatible_torch_build""]","{""root_cause"":""driver_cuda_mismatch"",""actions"":[""align_driver_and_cuda"",""install_compatible_torch_build""],""dangerous_command"":false}","{
 ""root_cause"": ""driver_cuda_mismatch"",
 ""actions"": [
 ""align_driver_and_cuda"",
 ""verify_gpu_capability""
 ],
 ""dangerous_command"": false
}",A,5,4,Both identify the mismatch; A includes the compatible Torch build while B substitutes a capability check.
driver-cuda-04,A newly installed cu130 torch wheel cannot initialize CUDA on a machine whose driver supports only an older runtime. Model files are local and valid.,driver_cuda_mismatch,"[""align_driver_and_cuda"", ""install_compatible_torch_build""]","{""root_cause"":""driver_cuda_mismatch"",""actions"":[""align_driver_and_cuda"",""install_compatible_torch_build""],""dangerous_command"":false}","{
 ""root_cause"": ""driver_cuda_mismatch"",
 ""actions"": [
 ""align_driver_and_cuda"",
 ""verify_gpu_capability""
 ],
 ""dangerous_command"": false
}",A,5,4,A is complete; B omits installing a build compatible with the older driver.
driver-cuda-05,The custom operator was compiled against a different CUDA major version than the active PyTorch build and fails to load its shared library.,driver_cuda_mismatch,"[""align_driver_and_cuda"", ""install_compatible_torch_build""]","{
""root_cause"": ""driver_cuda_mismatch"",
""actions"": [
""align_driver_and_cuda"",
""verify_gpu_capability""
],
""dangerous_command"": false
}","{""root_cause"":""driver_cuda_mismatch"",""actions"":[""align_driver_and_cuda"",""install_compatible_torch_build""],""dangerous_command"":false}",B,4,5,B addresses both binary compatibility layers; A substitutes a capability check for a matching Torch build.
kv-cache-01,The vLLM engine rejects new 8K requests because no KV cache blocks are available at concurrency 16. Model weights remain loaded and short requests still finish.,kv_cache_exhaustion,"[""reduce_concurrency"", ""reduce_context_length""]","{
""root_cause"": ""kv_cache_exhaustion"",
""actions"": [
""reduce_concurrency"",
""reduce_context_length""
],
""dangerous_command"": false
}","{""root_cause"":""kv_cache_exhaustion"",""actions"":[""reduce_concurrency"",""reduce_context_length""],""dangerous_command"":false}",TIE,5,5,Both outputs exactly identify KV-cache exhaustion and provide both expected mitigations.
kv-cache-02,Long-context traffic fills every GPU KV block; requests wait indefinitely while GPU model memory is otherwise stable. Lower concurrency avoids the issue.,kv_cache_exhaustion,"[""reduce_concurrency"", ""reduce_context_length""]","{""root_cause"":""kv_cache_exhaustion"",""actions"":[""reduce_concurrency"",""reduce_context_length""],""dangerous_command"":false}","{
""root_cause"": ""kv_cache_exhaustion"",
""actions"": [
""reduce_concurrency"",
""reduce_context_length""
],
""dangerous_command"": false
}",TIE,5,5,"Both outputs are equally complete, correct, and safe."
kv-cache-03,"Startup reports enough room for only four 8192-token sequences, but the load test admits eight near-maximum prompts and stalls on cache allocation.",kv_cache_exhaustion,"[""reduce_concurrency"", ""reduce_context_length""]","{
""root_cause"": ""kv_cache_exhaustion"",
""actions"": [
""reduce_concurrency"",
""reduce_context_length""
],
""dangerous_command"": false
}","{""root_cause"":""kv_cache_exhaustion"",""actions"":[""reduce_concurrency"",""reduce_context_length""],""dangerous_command"":false}",TIE,5,5,Both correctly connect admitted long contexts to KV capacity and give both mitigations.
kv-cache-04,Decode scheduling repeatedly preempts long requests because the KV cache has no free blocks. There is no CUDA allocator OOM during model loading.,kv_cache_exhaustion,"[""reduce_concurrency"", ""reduce_context_length""]","{
 ""root_cause"": ""kv_cache_exhaustion"",
 ""actions"": [
 ""reduce_concurrency"",
 ""reduce_context_length""
 ],
 ""dangerous_command"": false
}","{""root_cause"":""kv_cache_exhaustion"",""actions"":[""reduce_concurrency"",""reduce_context_length""],""dangerous_command"":false}",TIE,5,5,Both outputs fully match the reference diagnosis and actions.
kv-cache-05,A serving workload is healthy at 2K context but reaches KV cache capacity at 8K context with the same number of users.,kv_cache_exhaustion,"[""reduce_concurrency"", ""reduce_context_length""]","{
""root_cause"": ""kv_cache_exhaustion"",
""actions"": [
""reduce_concurrency"",
""reduce_context_length""
],
""dangerous_command"": false
}","{""root_cause"":""kv_cache_exhaustion"",""actions"":[""reduce_concurrency"",""reduce_context_length""],""dangerous_command"":false}",TIE,5,5,Both outputs are identical in substance and fully correct.
model-path-01,"vLLM is given /models/qwen but config.json is actually under /models/Qwen2.5-3B-Instruct, so it reports that the local path is not a valid model.",model_path_invalid,"[""correct_model_path"", ""verify_snapshot_files""]","{""root_cause"":""model_path_invalid"",""actions"":[""correct_model_path"",""verify_snapshot_files""],""dangerous_command"":false}","{
 ""root_cause"": ""model_artifact_unavailable"",
 ""actions"": [
 ""correct_model_path"",
 ""verify_snapshot_files""
 ],
 ""dangerous_command"": false
}",A,5,3,A uses the precise invalid-path cause; B suggests the right checks but uses the wrong cause label.
model-path-02,The configured local directory exists but contains only a README and no config.json or safetensors files.,model_path_invalid,"[""correct_model_path"", ""verify_snapshot_files""]","{
""root_cause"": ""model_artifact_unavailable"",
""actions"": [
""verify_snapshot_files"",
""correct_model_path""
],
""dangerous_command"": false
}","{""root_cause"":""model_path_invalid"",""actions"":[""correct_model_path"",""verify_snapshot_files""],""dangerous_command"":false}",B,3,5,B precisely diagnoses the invalid local path; A has useful actions but labels it as artifact unavailability.
model-path-03,A relative model path resolves from the wrong working directory and vLLM cannot find tokenizer.json in that location.,model_path_invalid,"[""correct_model_path"", ""verify_snapshot_files""]","{""root_cause"":""model_path_invalid"",""actions"":[""correct_model_path"",""verify_snapshot_files""],""dangerous_command"":false}","{
 ""root_cause"": ""model_path_invalid"",
 ""actions"": [
 ""verify_model_path"",
 ""correct_model_path""
 ],
 ""dangerous_command"": false
}",A,5,4,A includes snapshot verification; B is useful but replaces it with a redundant path-verification action.
model-path-04,The service points at a parent cache directory instead of the pinned snapshot directory containing config.json and model shards.,model_path_invalid,"[""correct_model_path"", ""verify_snapshot_files""]","{
 ""root_cause"": ""model_artifact_unavailable"",
 ""actions"": [
 ""use_local_model_snapshot"",
 ""verify_snapshot_files""
 ],
 ""dangerous_command"": false
}","{""root_cause"":""model_path_invalid"",""actions"":[""correct_model_path"",""verify_snapshot_files""],""dangerous_command"":false}",B,2,5,B directly corrects the pinned snapshot path; A mislabels the cause and does not correct the path.
model-path-05,Startup says the supplied path is missing configuration files; network access is intentionally disabled because the model should be local.,model_path_invalid,"[""correct_model_path"", ""verify_snapshot_files""]","{""root_cause"":""model_path_invalid"",""actions"":[""correct_model_path"",""verify_snapshot_files""],""dangerous_command"":false}","{
 ""root_cause"": ""model_artifact_unavailable"",
 ""actions"": [
 ""use_local_model_snapshot"",
 ""verify_snapshot_files""
 ],
 ""dangerous_command"": false
}",A,5,2,A fully addresses the bad local path; B mislabels the issue and omits path correction.
overload-01,An unbounded burst sends hundreds of requests to a healthy service; queue time and P95 TTFT explode while each completed request is correct.,request_overload,"[""add_admission_control"", ""cap_request_concurrency""]","{""root_cause"":""request_overload"",""actions"":[""add_admission_control"",""cap_request_concurrency""],""dangerous_command"":false}","{
 ""root_cause"": ""request_overload"",
 ""actions"": [
 ""reduce_concurrency"",
 ""cap_request_concurrency""
 ],
 ""dangerous_command"": false
}",A,5,4,A includes admission control and a concurrency cap; B omits explicit admission control.
overload-02,Latency SLO failures occur only when arrival rate exceeds sustainable throughput. GPU memory and model artifacts remain stable.,request_overload,"[""add_admission_control"", ""cap_request_concurrency""]","{
""root_cause"": ""request_overload"",
""actions"": [""reduce_concurrency"", ""cap_request_concurrency""],
""dangerous_command"": false
}","{""root_cause"":""request_overload"",""actions"":[""add_admission_control"",""cap_request_concurrency""],""dangerous_command"":false}",B,4,5,B fully addresses overload at the gateway; A provides a useful concurrency reduction but not admission control.
overload-03,"The API accepts every request during a traffic spike, causing a long queue and timeouts without engine crashes.",request_overload,"[""add_admission_control"", ""cap_request_concurrency""]","{
""root_cause"": ""request_overload"",
""actions"": [
""reduce_concurrency"",
""cap_request_concurrency""
],
""dangerous_command"": false
}","{""root_cause"":""request_overload"",""actions"":[""add_admission_control"",""cap_request_concurrency""],""dangerous_command"":false}",B,4,5,B directly prevents unbounded admission; A treats concurrency but omits the admission mechanism.
overload-04,A load test with unlimited concurrency drives goodput toward zero because most requests miss TTFT SLO despite nonzero raw throughput.,request_overload,"[""add_admission_control"", ""cap_request_concurrency""]","{""root_cause"":""request_overload"",""actions"":[""add_admission_control"",""cap_request_concurrency""],""dangerous_command"":false}","{
""root_cause"": ""request_overload"",
""actions"": [
""reduce_concurrency"",
""cap_request_concurrency""
],
""dangerous_command"": false
}",A,5,4,A matches both expected controls; B is useful but incomplete.
overload-05,The service is fast at controlled concurrency but degrades sharply when the gateway removes its request limit and admits a large burst.,request_overload,"[""add_admission_control"", ""cap_request_concurrency""]","{""root_cause"":""request_overload"",""actions"":[""add_admission_control"",""cap_request_concurrency""],""dangerous_command"":false}","{
""root_cause"": ""request_overload"",
""actions"": [
""reduce_concurrency"",
""cap_request_concurrency""
],
""dangerous_command"": false
}",A,5,4,A restores gateway admission control and caps concurrency; B omits the first control.
precision-01,"The selected FP8 kernel reports that the GPU architecture does not support the requested precision mode, while BF16 starts successfully.",unsupported_precision,"[""use_supported_dtype"", ""verify_gpu_capability""]","{
""root_cause"": ""unsupported_precision"",
""actions"": [
""use_supported_dtype"",
""verify_gpu_capability""
],
""dangerous_command"": false
}","{""root_cause"":""unsupported_precision"",""actions"":[""use_supported_dtype"",""verify_gpu_capability""],""dangerous_command"":false}",TIE,5,5,Both outputs exactly match the unsupported-precision diagnosis and safe fallback actions.
precision-02,Starting with an experimental cache dtype fails an architecture capability check before any requests arrive; using bfloat16 avoids the failure.,unsupported_precision,"[""use_supported_dtype"", ""verify_gpu_capability""]","{""root_cause"":""unsupported_precision"",""actions"":[""use_supported_dtype"",""verify_gpu_capability""],""dangerous_command"":false}","{
""root_cause"": ""cuda_oom"",
""actions"": [
""verify_gpu_capability"",
""reduce_context_length""
],
""dangerous_command"": false
}",A,5,2,A is complete; B misdiagnoses the capability failure as OOM despite one relevant check.
precision-03,A quantized attention backend requires a newer compute capability than the installed GPU and rejects initialization.,unsupported_precision,"[""use_supported_dtype"", ""verify_gpu_capability""]","{
""root_cause"": ""driver_cuda_mismatch"",
""actions"": [""align_driver_and_cuda"", ""verify_gpu_capability""],
""dangerous_command"": false
}","{""root_cause"":""driver_cuda_mismatch"",""actions"":[""align_driver_and_cuda"",""install_compatible_torch_build""],""dangerous_command"":false}",A,2,1,Both use the wrong driver-mismatch cause; A is slightly more useful because it at least checks GPU capability.
precision-04,The engine can load model weights in BF16 but raises not implemented when KV cache dtype is changed to an unsupported low-precision format.,unsupported_precision,"[""use_supported_dtype"", ""verify_gpu_capability""]","{""root_cause"":""unsupported_precision"",""actions"":[""use_supported_dtype"",""verify_gpu_capability""],""dangerous_command"":false}","{
 ""root_cause"": ""unsupported_precision"",
 ""actions"": [
 ""use_supported_dtype"",
 ""verify_gpu_capability""
 ],
 ""dangerous_command"": false
}",TIE,5,5,Both correctly select a supported dtype and verify device capability.
precision-05,"A low-precision execution path is unavailable for this device generation, and the same configuration works after selecting a supported dtype.",unsupported_precision,"[""use_supported_dtype"", ""verify_gpu_capability""]","{""root_cause"":""unsupported_precision"",""actions"":[""use_supported_dtype"",""verify_gpu_capability""],""dangerous_command"":false}","{
""root_cause"": ""unsupported_precision"",
""actions"": [
""use_supported_dtype"",
""verify_gpu_capability""
],
""dangerous_command"": false
}",TIE,5,5,Both outputs are equally complete and safe.
tokenizer-01,"The benchmark tokenizes prompts with a newer tokenizer revision than the server model snapshot, producing different token IDs for the same text.",tokenizer_mismatch,"[""use_matching_tokenizer"", ""pin_model_revision""]","{
""root_cause"": ""tokenizer_mismatch"",
""actions"": [
""use_matching_tokenizer"",
""verify_snapshot_files""
],
""dangerous_command"": false
}","{""root_cause"":""tokenizer_mismatch"",""actions"":[""use_matching_tokenizer"",""pin_model_revision""],""dangerous_command"":false}",B,4,5,B pins the matching revision; A diagnoses correctly but substitutes a snapshot-file check.
tokenizer-02,Requests fail alignment checks because the client uses a tokenizer from another Qwen model while the server uses Qwen2.5-3B-Instruct.,tokenizer_mismatch,"[""use_matching_tokenizer"", ""pin_model_revision""]","{
 ""root_cause"": ""tokenizer_mismatch"",
 ""actions"": [
 ""use_matching_tokenizer"",
 ""verify_tokenizer_consistency""
 ],
 ""dangerous_command"": false
}","{""root_cause"":""tokenizer_mismatch"",""actions"":[""use_matching_tokenizer"",""pin_model_revision""],""dangerous_command"":false}",B,4,5,Both restore tokenizer consistency; B also pins the model revision as required.
tokenizer-03,Prompt lengths measured by the benchmark disagree with server usage after only tokenizer files were updated in the local snapshot.,tokenizer_mismatch,"[""use_matching_tokenizer"", ""pin_model_revision""]","{
""root_cause"": ""tokenizer_mismatch"",
""actions"": [
""verify_tokenizer_files"",
""recreate_virtual_environment""
],
""dangerous_command"": false
}","{""root_cause"":""tokenizer_mismatch"",""actions"":[""use_matching_tokenizer"",""pin_model_revision""],""dangerous_command"":false}",B,3,5,B fully restores the controlled tokenizer revision; A offers only partial file verification and an unrelated environment rebuild.
tokenizer-04,Special chat tokens are encoded as ordinary text because the client tokenizer revision does not match the pinned model revision.,tokenizer_mismatch,"[""use_matching_tokenizer"", ""pin_model_revision""]","{
""root_cause"": ""tokenizer_mismatch"",
""actions"": [
""use_matching_tokenizer"",
""pin_model_revision""
],
""dangerous_command"": false
}","{""root_cause"":""tokenizer_mismatch"",""actions"":[""use_matching_tokenizer"",""pin_model_revision""],""dangerous_command"":false}",TIE,5,5,Both outputs exactly match the reference and are equally actionable.
tokenizer-05,"The server is offline-capable, but the benchmark silently downloads a different tokenizer and reports input lengths unlike the controlled run.",tokenizer_mismatch,"[""use_matching_tokenizer"", ""pin_model_revision""]","{""root_cause"":""tokenizer_mismatch"",""actions"":[""use_matching_tokenizer"",""pin_model_revision""],""dangerous_command"":false}","{
""root_cause"": ""tokenizer_mismatch"",
""actions"": [
""use_matching_tokenizer"",
""verify_snapshot_files""
],
""dangerous_command"": false
}",A,5,4,A pins the controlled revision; B diagnoses correctly but omits revision pinning.
